iter,MH,MW,MAG,ROT
98,0.008641,0.020769,0.009622,17.41
99,0.010084,0.013681,0.011194,8.66
100,0.002484,0.018768,0.007223,12.08
101,0.003468,0.012729,0.007912,12.87
102,0.011068,0.015813,0.014255,6.33
103,0.007657,0.01073,0.005165,17.56
104,0.004807,0.021814,0.01134,1.61
105,0.004644,0.014778,0.005802,5.49
106,0.007165,0.017678,0.011988,13.94
107,0.011559,0.008779,0.008525,0.18
108,0.003632,0.019679,0.014858,19.22
109,0.001991,0.009828,0.010556,15.64
110,0.009919,0.022724,0.006576,4.72
111,0.008805,0.011827,0.01252,10.97
112,0.006285,0.016723,0.009019,9.38
113,0.006568,0.011405,0.012358,18.3
114,0.009259,0.016052,0.006025,2.35
115,0.009476,0.009404,0.014487,13.61
116,0.001697,0.022051,0.008302,7.07
117,0.003994,0.008449,0.006519,7.84
118,0.011773,0.0191,0.01002,11.26
119,0.006962,0.014451,0.009076,2.51
120,0.004272,0.017101,0.013057,16.6
121,0.00542,0.010057,0.009723,10.54
122,0.007783,0.021391,0.013694,8.95
123,0.010952,0.012058,0.007122,15.21
124,0.002845,0.015393,0.010633,4.29
125,0.002517,0.013103,0.013841,0.69
126,0.010624,0.018441,0.007665,19.73
127,0.008111,0.007102,0.011755,5.99
128,0.005749,0.02044,0.005412,14.45
129,0.005693,0.011671,0.014015,6.88
130,0.008083,0.016756,0.007527,13.46
131,0.010682,0.00967,0.01158,2.22
132,0.002542,0.022755,0.005551,18.14
133,0.00287,0.008746,0.009861,16.73
134,0.01101,0.019835,0.013519,2.68
135,0.007755,0.014747,0.006984,11.44
136,0.005365,0.017835,0.010808,7.98
137,0.004217,0.01076,0.006347,4.11
138,0.006936,0.021657,0.010161,15.07
139,0.01183,0.012761,0.009249,8.82
140,0.004018,0.015658,0.012916,10.37
141,0.001721,0.013837,0.012217,14.57
142,0.009533,0.018738,0.006197,6.16
143,0.009233,0.007836,0.014628,19.92
144,0.006514,0.020737,0.008129,0.84
145,0.0063,0.007384,0.010416,11.95
146,0.00887,0.020034,0.006748,8.49
147,0.009905,0.013383,0.012661,17.23
148,0.001924,0.018033,0.008847,3.19
149,0.003564,0.012464,0.00563,1.8
150,0.011546,0.01511,0.012128,17.71
151,0.00723,0.010465,0.008697,6.45
152,0.004659,0.021111,0.014717,13.03
153,0.004825,0.014044,0.00805,19.1
154,0.007722,0.017381,0.01408,0.02
155,0.011053,0.008045,0.005026,13.75
156,0.0034,0.019382,0.011515,5.34
157,0.002416,0.009125,0.013308,9.56
158,0.010069,0.022458,0.009484,11.11
159,0.008707,0.011124,0.011019,4.85
160,0.005809,0.016457,0.007361,15.81
161,0.006073,0.009978,0.009122,12.64
162,0.008441,0.022565,0.01312,6.69
163,0.010294,0.011977,0.006533,17.94
164,0.002192,0.016565,0.010053,1.4
165,0.003176,0.014932,0.014502,3.73
166,0.011278,0.017516,0.008334,17.15
167,0.007457,0.008934,0.012403,8.41
168,0.005089,0.019517,0.006089,12.5
169,0.004598,0.012575,0.011766,16.04
170,0.007293,0.015975,0.005442,4.45
171,0.011441,0.010576,0.013889,10.72
172,0.003668,0.021976,0.007731,9.8
173,0.002027,0.007531,0.00717,5.26
174,0.009801,0.020927,0.0107,14.3
175,0.008934,0.01353,0.009735,0.56
176,0.006238,0.018926,0.013723,19.02
177,0.006615,0.013203,0.005231,7.59
178,0.00913,0.018349,0.011389,11.68
179,0.009594,0.007201,0.007942,2.91
180,0.001661,0.020349,0.014266,16.33
181,0.003958,0.010152,0.011223,18.68
182,0.011891,0.021303,0.007235,2.14
183,0.006834,0.012154,0.0132,13.38
184,0.004318,0.015304,0.00967,7.43
185,0.005138,0.008354,0.012553,1.07
186,0.007983,0.019188,0.009033,19.52
187,0.010742,0.014355,0.01062,5.77
188,0.003137,0.017189,0.006622,14.81
189,0.002809,0.011306,0.008589,10.29
190,0.010414,0.016144,0.014903,9.37
191,0.008311,0.009305,0.005834,15.61
192,0.005466,0.022143,0.012002,4.03
193,0.005566,0.008839,0.006139,19.54
194,0.008292,0.019734,0.012317,1.13
195,0.010473,0.014839,0.008265,14.87
196,0.002669,0.017736,0.014608,5.79
197,0.002997,0.01176,0.010295,9.08
198,0.010801,0.01666,0.006327,10.04
199,0.007964,0.009759,0.012858,3.77
200,0.005238,0.022659,0.009348,15.32
201,0.004418,0.01375,0.0135,11.78
202,0.006816,0.018833,0.01,7.73
203,0.011949,0.007749,0.010904,16.47
204,0.003816,0.020832,0.006925,3.01
205,0.001519,0.010669,0.007622,1.93
206,0.009652,0.021756,0.013956,18.51
207,0.009113,0.01267,0.005531,7.26
208,0.006715,0.015757,0.011719,13.17
209,0.006097,0.012122,0.009425,4.59
210,0.008992,0.01546,0.013403,16.14
211,0.009784,0.010122,0.0075,9.9
212,0.002128,0.021461,0.011,10.86
213,0.003768,0.007046,0.014219,14.13
214,0.011424,0.020381,0.008031,5.05
215,0.007352,0.013045,0.011456,18.8
216,0.004456,0.018379,0.005123,0.38
217,0.004949,0.009462,0.012108,6.75
218,0.007516,0.022113,0.005765,12.66
219,0.011259,0.011461,0.014817,1.42
220,0.003276,0.016112,0.008639,18.0
221,0.002291,0.014385,0.006848,16.9
222,0.010275,0.017032,0.010358,3.44
223,0.008501,0.008386,0.008827,12.21
224,0.005933,0.019033,0.012796,8.16
225,0.005872,0.014528,0.010718,0.31
226,0.00856,0.017929,0.007032,19.35
227,0.010175,0.008529,0.013628,5.59
228,0.002393,0.01993,0.009794,14.04
229,0.003377,0.009577,0.005346,11.09
230,0.011159,0.022974,0.011825,9.5
231,0.007576,0.011576,0.00775,15.75
232,0.004888,0.016973,0.01375,4.83
233,0.004725,0.007931,0.008392,8.7
234,0.007084,0.020519,0.014402,12.12
235,0.01165,0.01393,0.005954,3.37
236,0.003541,0.018518,0.012423,17.45
237,0.0019,0.012979,0.012986,17.61
238,0.01001,0.015563,0.009142,1.66
239,0.008725,0.01098,0.010111,12.89
240,0.006365,0.021564,0.006434,6.35
241,0.00649,0.010307,0.014924,15.24
242,0.009337,0.021141,0.008454,4.32
243,0.009387,0.012308,0.011902,10.58
244,0.001786,0.015142,0.005892,8.99
245,0.004083,0.013353,0.008933,6.02
246,0.011684,0.018191,0.012611,14.47
247,0.00704,0.007352,0.006642,0.74
248,0.004193,0.02019,0.010486,19.78
249,0.005342,0.011156,0.007294,13.71
250,0.007861,0.016302,0.011128,7.17
251,0.010863,0.009155,0.009532,18.43
252,0.002933,0.022301,0.013219,2.48
253,0.002605,0.0082,0.01125,2.62
254,0.010536,0.01935,0.00525,16.71
255,0.008189,0.014201,0.014325,7.96
256,0.00567,0.017351,0.007846,11.38
257,0.005644,0.014233,0.007061,4.78
258,0.008214,0.017317,0.010728,15.74
259,0.010561,0.008234,0.009785,9.48
260,0.00258,0.019318,0.013598,11.03
261,0.002908,0.009185,0.011816,14.0
262,0.01089,0.022273,0.005317,5.58
263,0.007886,0.011184,0.01378,19.32
264,0.005316,0.016272,0.007759,0.24
265,0.004168,0.007323,0.014393,6.38
266,0.007066,0.02022,0.008362,12.97
267,0.011709,0.013322,0.012453,1.7
268,0.004056,0.018219,0.005964,17.62
269,0.001759,0.012274,0.009172,17.47
270,0.009413,0.015175,0.012995,3.43
271,0.009363,0.010275,0.006424,12.18
272,0.006465,0.021176,0.010081,8.72
273,0.006349,0.010946,0.008464,19.82
274,0.00874,0.021596,0.014953,0.75
275,0.010026,0.012947,0.005862,14.51
276,0.001885,0.015597,0.011893,6.09
277,0.003526,0.013902,0.012581,9.05
278,0.011667,0.018548,0.008924,10.59
279,0.007099,0.007901,0.010494,4.35
280,0.004708,0.020547,0.006672,15.31
281,0.004873,0.011607,0.011098,11.36
282,0.007592,0.016945,0.007285,7.9
283,0.011173,0.009606,0.013228,16.65
284,0.003362,0.022944,0.009561,2.61
285,0.002377,0.008561,0.005259,2.45
286,0.010189,0.019895,0.01128,18.36
287,0.008576,0.014562,0.007817,7.13
288,0.005858,0.017896,0.014316,13.71
289,0.005958,0.008415,0.012326,15.39
290,0.008474,0.019002,0.006169,3.8
291,0.01025,0.014416,0.014578,10.04
292,0.002317,0.017003,0.008255,9.12
293,0.003302,0.011496,0.006296,5.85
294,0.011235,0.016079,0.010287,14.89
295,0.00749,0.009495,0.009357,1.14
296,0.004974,0.022079,0.012888,19.6
297,0.004482,0.013013,0.00997,13.16
298,0.007326,0.018413,0.013491,7.2
299,0.011398,0.007013,0.006934,18.44
300,0.003794,0.020412,0.010934,1.9
301,0.002153,0.010092,0.013965,3.0
302,0.009757,0.021488,0.007652,16.43
303,0.008967,0.012093,0.011688,7.66
304,0.006123,0.015489,0.005522,11.74
305,0.00673,0.012639,0.013434,0.32
306,0.009097,0.015786,0.009434,18.78
307,0.009637,0.01064,0.010991,5.03
308,0.001536,0.021787,0.00747,14.07
309,0.003833,0.007716,0.008022,10.78
310,0.011934,0.020867,0.014188,9.86
311,0.0068,0.013715,0.005152,16.13
312,0.004433,0.018866,0.011465,4.55
313,0.005254,0.009792,0.005755,8.17
314,0.00795,0.022627,0.012078,12.25
315,0.010785,0.011791,0.008669,3.51
316,0.003011,0.016626,0.014826,16.93
317,0.002683,0.014868,0.010388,18.01
318,0.010457,0.017706,0.006857,1.47
319,0.008278,0.008869,0.012787,12.72
320,0.005582,0.019707,0.008797,6.77
321,0.005441,0.009277,0.013092,12.43
322,0.008336,0.022173,0.009111,8.38
323,0.01044,0.011276,0.010063,17.15
324,0.002784,0.016172,0.006562,3.69
325,0.003112,0.014321,0.008345,1.34
326,0.010768,0.017221,0.01453,17.92
327,0.008008,0.008322,0.00606,6.67
328,0.005112,0.019222,0.012393,12.59
329,0.004293,0.012186,0.005452,19.03
330,0.00686,0.01527,0.011795,0.61
331,0.011916,0.010187,0.007702,14.37
332,0.003932,0.021271,0.013878,5.29
333,0.001635,0.007232,0.010671,9.81
334,0.009619,0.020319,0.00716,10.76
335,0.009157,0.013231,0.013734,4.53
336,0.006589,0.018319,0.009763,16.07
337,0.006222,0.01356,0.011378,7.49
338,0.008949,0.018898,0.005203,13.41
339,0.009817,0.007559,0.014295,2.16
340,0.002012,0.020897,0.007953,18.74
341,0.003653,0.010608,0.007263,16.41
342,0.011458,0.021942,0.011234,2.95
343,0.007308,0.012608,0.00966,11.68
344,0.004581,0.015943,0.013171,7.64
345,0.005075,0.008898,0.009062,4.02
346,0.007472,0.019549,0.012563,15.57
347,0.011293,0.0149,0.006612,9.3
348,0.00316,0.01755,0.010592,10.26
349,0.002176,0.011949,0.014893,14.8
350,0.010308,0.016596,0.00856,5.72
351,0.008457,0.009948,0.01203,19.46
352,0.006059,0.022595,0.005845,1.04
353,0.005834,0.011091,0.007516,8.03
354,0.008681,0.016492,0.013987,11.45
355,0.010044,0.00909,0.005579,2.71
356,0.002442,0.022491,0.011591,16.79
357,0.003426,0.008014,0.013548,18.18
358,0.011028,0.019411,0.009871,2.23
359,0.007696,0.014015,0.010797,13.49
360,0.004849,0.017412,0.006955,6.95
361,0.004686,0.010492,0.010189,0.8
362,0.007205,0.021081,0.006357,19.84
363,0.011519,0.012493,0.012906,6.11
364,0.00359,0.015082,0.00922,14.57
365,0.001949,0.013417,0.006187,10.34
366,0.009879,0.018002,0.012189,8.76
367,0.008845,0.007416,0.008158,15.01
368,0.006327,0.020001,0.014638,4.09
369,0.006529,0.007871,0.006719,12.99
370,0.009216,0.020704,0.010406,6.44
371,0.009518,0.01387,0.008857,17.68
372,0.001737,0.018703,0.012689,1.72
373,0.004034,0.01279,0.012138,3.14
374,0.011815,0.015627,0.005658,17.22
375,0.006919,0.010791,0.014689,8.46
376,0.004232,0.021628,0.008687,11.88
377,0.005381,0.014718,0.01409,15.83
378,0.007741,0.017864,0.008079,4.91
379,0.010994,0.008719,0.011486,11.16
380,0.002884,0.019865,0.005016,9.58
381,0.002556,0.009638,0.009456,5.37
382,0.010666,0.022788,0.013297,13.82
383,0.008069,0.011637,0.007372,0.06
384,0.005709,0.016787,0.011048,19.1
385,0.005733,0.007074,0.009632,1.6
386,0.008125,0.02047,0.013162,17.52
387,0.01064,0.013073,0.007195,6.25
388,0.002502,0.018469,0.011183,12.83
389,0.00283,0.012024,0.014226,12.07
390,0.010968,0.015424,0.007902,8.6
391,0.007797,0.010025,0.011351,17.35
392,0.005405,0.021425,0.005193,3.31
393,0.004256,0.014483,0.011959,9.44
394,0.006978,0.017067,0.005791,10.99
395,0.011788,0.008484,0.014868,4.73
396,0.003978,0.019068,0.008554,15.69
397,0.001681,0.009435,0.006587,19.29
398,0.009491,0.022023,0.010585,0.21
399,0.009275,0.011434,0.00899,13.95
400,0.006554,0.016022,0.01251,5.53
401,0.006258,0.011857,0.006054,16.61
402,0.008831,0.016695,0.012368,2.57
403,0.009945,0.009856,0.008291,11.32
404,0.001966,0.022694,0.014459,7.86
405,0.003607,0.008811,0.01001,7.07
406,0.011586,0.019645,0.00649,13.65
407,0.00719,0.014812,0.013085,2.42
408,0.004617,0.017646,0.009087,18.34
409,0.004782,0.010696,0.013683,14.38
410,0.007683,0.021847,0.009695,5.96
411,0.011093,0.012697,0.010662,19.72
412,0.003442,0.015847,0.007132,0.64
413,0.002458,0.013652,0.007693,4.23
414,0.010108,0.018798,0.013851,15.18
415,0.008667,0.00765,0.005402,8.94
416,0.005767,0.020798,0.011726,10.48
417,0.006034,0.013263,0.01476,18.57
418,0.008399,0.018164,0.00874,2.02
419,0.010336,0.007262,0.012163,13.27
420,0.002231,0.020163,0.005665,7.31
421,0.003216,0.010342,0.008882,7.79
422,0.01132,0.021239,0.012697,11.87
423,0.007414,0.012343,0.006791,3.11
424,0.005049,0.01524,0.010459,16.53
425,0.004558,0.008164,0.007399,10.1
426,0.007251,0.019253,0.011057,9.17
427,0.011484,0.014165,0.009524,15.41
428,0.003707,0.017254,0.013348,3.83
429,0.002067,0.011245,0.011556,1.18
430,0.009843,0.01633,0.005067,19.64
431,0.008891,0.009244,0.014118,5.89
432,0.006199,0.022329,0.008088,14.93
433,0.006657,0.009543,0.010848,3.54
434,0.00917,0.022876,0.007024,16.96
435,0.009554,0.011542,0.013557,8.22
436,0.001619,0.016875,0.009899,12.3
437,0.003916,0.014618,0.005588,12.76
438,0.011851,0.017955,0.011618,6.81
439,0.006873,0.008619,0.007567,18.06
440,0.00436,0.019956,0.014056,1.52
441,0.005181,0.012889,0.008165,5.15
442,0.008023,0.015535,0.014664,14.18
443,0.010702,0.01089,0.00624,0.44
444,0.003095,0.021536,0.01226,18.9
445,0.002767,0.007967,0.012958,16.23
446,0.010374,0.020617,0.009291,4.65
447,0.008351,0.013966,0.010196,10.92
448,0.005509,0.018616,0.006382,10.0
449,0.005526,0.012436,0.010526,14.24
450,0.00825,0.01502,0.006682,5.16
451,0.010515,0.010437,0.012649,18.92
452,0.002708,0.021021,0.008971,0.5
453,0.003037,0.007482,0.00593,4.4
454,0.010843,0.02007,0.01194,15.94
455,0.007922,0.013481,0.008494,9.7
456,0.005198,0.018069,0.014964,10.66
457,0.004378,0.009027,0.007882,17.09
458,0.006774,0.022424,0.014361,3.63
459,0.011992,0.011026,0.005293,12.4
460,0.003856,0.016423,0.011293,8.36
461,0.001559,0.014071,0.013261,6.63
462,0.009695,0.017471,0.009574,12.54
463,0.009071,0.008071,0.011163,1.3
464,0.006675,0.019472,0.007329,17.88
465,0.006139,0.008649,0.013793,9.27
466,0.009032,0.019799,0.007793,10.23
467,0.009744,0.01465,0.011861,3.97
468,0.002085,0.0178,0.005382,15.51
469,0.003726,0.011699,0.009829,19.43
470,0.011385,0.016845,0.013663,1.01
471,0.007391,0.009698,0.007075,14.75
472,0.004498,0.022844,0.010761,5.67
473,0.004991,0.01381,0.006471,2.04
474,0.007556,0.018648,0.010148,18.62
475,0.01122,0.007809,0.009182,7.37
476,0.003233,0.020646,0.013026,13.29
477,0.002249,0.010858,0.012464,11.58
478,0.010235,0.021692,0.005994,7.53
479,0.00854,0.012859,0.01444,16.27
480,0.005976,0.015693,0.00843,2.81
481,0.005912,0.010243,0.005087,6.22
482,0.008603,0.021331,0.01142,14.67
483,0.010132,0.012244,0.007988,0.94
484,0.002353,0.015331,0.014176,19.98
485,0.003338,0.013168,0.010958,15.12
486,0.011117,0.018251,0.007457,4.21
487,0.007618,0.007167,0.013368,10.46
488,0.004928,0.02025,0.00939,8.88
489,0.004764,0.011341,0.012755,2.74
490,0.007126,0.016241,0.008786,16.82
491,0.011608,0.009341,0.01032,8.08
492,0.003501,0.02224,0.00681,11.5
493,0.001861,0.008265,0.008601,13.52
494,0.009967,0.01916,0.014779,6.98
495,0.008767,0.014265,0.005724,18.24
496,0.006405,0.017162,0.012067,2.28
497,0.006448,0.014967,0.00931,11.21
498,0.009297,0.017614,0.01282,9.62
499,0.009427,0.008968,0.006287,15.87
500,0.001828,0.019615,0.010255,4.95
501,0.004125,0.009888,0.014567,0.12
502,0.011724,0.022539,0.008224,19.16
503,0.007,0.011887,0.012279,5.39
504,0.004151,0.016538,0.006101,13.85
505,0.0053,0.00762,0.011676,17.81
506,0.007821,0.020955,0.005489,1.85
507,0.010903,0.01362,0.013921,13.09
508,0.002975,0.018954,0.007587,6.55
509,0.002647,0.012539,0.006889,8.59
510,0.010575,0.015877,0.010868,12.01
511,0.008149,0.01054,0.009957,3.25
512,0.005628,0.021879,0.013457,17.33
513,0.005634,0.012526,0.008953,17.9
514,0.008163,0.015922,0.01263,1.35
515,0.010571,0.010526,0.006702,12.61
516,0.002631,0.021923,0.010543,6.65
517,0.002959,0.007572,0.014982,8.36
518,0.0109,0.020973,0.008512,12.44
519,0.007836,0.013571,0.011922,3.71
520,0.005306,0.018971,0.005911,17.13
521,0.004158,0.009937,0.01131,10.74
522,0.007014,0.022521,0.005308,9.83
523,0.01172,0.011936,0.014345,16.09
524,0.004108,0.01652,0.007866,4.51
525,0.001811,0.014981,0.007314,0.59
526,0.009423,0.017569,0.011146,19.05
527,0.009311,0.008982,0.00959,5.3
528,0.006454,0.01957,0.013277,14.35
529,0.006422,0.00831,0.005365,2.97
530,0.008771,0.019147,0.011845,16.38
531,0.009953,0.01431,0.007808,7.62
532,0.001854,0.017148,0.01381,11.7
533,0.003495,0.011359,0.010777,13.43
534,0.011594,0.016193,0.007091,7.47
535,0.00713,0.009358,0.013646,18.72
536,0.004781,0.022191,0.009814,2.18
537,0.004944,0.01315,0.013043,5.73
538,0.007622,0.0183,0.009201,14.78
539,0.011103,0.007149,0.01013,1.02
540,0.003331,0.020299,0.006453,19.48
541,0.002347,0.010198,0.008411,15.58
542,0.010118,0.021344,0.014422,4.0
543,0.008606,0.012199,0.006012,10.23
544,0.005928,0.015345,0.012483,9.32
545,0.00599,0.010841,0.014159,2.25
546,0.008546,0.02174,0.007973,18.17
547,0.010218,0.012842,0.011436,6.93
548,0.002245,0.015742,0.005103,13.51
549,0.00323,0.013765,0.009405,11.47
550,0.011203,0.018661,0.013385,8.02
551,0.007562,0.007764,0.007441,16.77
552,0.005005,0.02066,0.010942,2.73
553,0.004512,0.011744,0.006828,8.78
554,0.007398,0.016831,0.010339,10.32
555,0.011368,0.009743,0.008767,4.07
556,0.003722,0.02283,0.012738,15.03
557,0.002081,0.008667,0.012049,19.87
558,0.009727,0.01975,0.005706,0.78
559,0.009038,0.014668,0.014796,14.55
560,0.006153,0.017751,0.008621,6.13
561,0.006679,0.014119,0.010238,17.2
562,0.009088,0.017454,0.006267,3.16
563,0.009688,0.00812,0.012839,11.9
564,0.001545,0.019455,0.009328,8.45
565,0.003842,0.00904,0.00612,6.42
566,0.011985,0.022379,0.012296,13.01
567,0.006791,0.01104,0.008206,1.74
568,0.004382,0.016378,0.014549,17.66
569,0.005202,0.007468,0.007603,13.81
570,0.007938,0.020115,0.013936,5.39
571,0.010837,0.013467,0.005474,19.12
572,0.003023,0.018114,0.011659,0.04
573,0.002694,0.012387,0.013442,4.9
574,0.010509,0.015038,0.009941,15.85
575,0.008266,0.010388,0.010885,9.6
576,0.00553,0.021039,0.006904,11.14
577,0.005513,0.007984,0.011205,5.56
578,0.008367,0.020568,0.007215,14.02
579,0.010367,0.013983,0.013142,0.26
580,0.002753,0.018567,0.009611,19.3
581,0.00308,0.012934,0.005173,15.71
582,0.010696,0.015522,0.011329,4.8
583,0.008039,0.010935,0.007923,11.04
584,0.005184,0.021523,0.014246,9.46
585,0.004364,0.014573,0.008531,3.41
586,0.00689,0.017969,0.014844,17.49
587,0.011844,0.008574,0.005815,8.74
588,0.003902,0.01997,0.011981,12.15
589,0.001605,0.009525,0.012534,12.95
590,0.009548,0.022925,0.009013,6.4
591,0.009187,0.011524,0.010563,17.64
592,0.006661,0.016924,0.006563,1.68
593,0.006213,0.011196,0.014481,10.61
594,0.008898,0.016347,0.008315,9.03
595,0.009826,0.009195,0.012344,15.28
596,0.002063,0.022346,0.006031,4.37
597,0.003704,0.008151,0.009063,0.76
598,0.011467,0.019298,0.013063,19.81
599,0.007257,0.014152,0.006513,6.07
600,0.004572,0.017299,0.010034,14.53
601,0.005063,0.010356,0.007111,18.38
602,0.007421,0.021194,0.010642,2.42
603,0.011304,0.012357,0.009714,13.69
604,0.003212,0.015195,0.013705,7.14
605,0.002228,0.013312,0.011746,7.92
606,0.01032,0.018146,0.005423,11.33
607,0.008405,0.007311,0.01383,2.59
608,0.006048,0.020145,0.007673,16.67
609,0.005784,0.013665,0.005688,14.91
610,0.008671,0.018753,0.012187,5.83
611,0.010094,0.007664,0.008716,19.58
612,0.002452,0.020753,0.014737,1.16
613,0.003436,0.010744,0.010435,3.83
614,0.011079,0.021829,0.006768,15.37
615,0.007686,0.012745,0.012719,9.11
616,0.004799,0.01583,0.008906,10.06
617,0.004634,0.008762,0.013327,16.44
618,0.007194,0.019663,0.009504,2.99
619,0.011572,0.014763,0.011077,11.72
620,0.0036,0.017664,0.00742,7.68
621,0.00196,0.011843,0.008108,7.22
622,0.009931,0.01674,0.014139,13.14
623,0.008835,0.009842,0.005046,1.88
624,0.006275,0.022739,0.011535,18.47
625,0.00656,0.009391,0.00992,9.85
626,0.009289,0.022036,0.013577,10.8
627,0.009487,0.011389,0.007004,4.57
628,0.001664,0.016036,0.010827,16.11
629,0.003961,0.014465,0.014035,18.76
630,0.011784,0.017115,0.007546,0.34
631,0.006992,0.008466,0.011639,14.1
632,0.004263,0.019116,0.005608,5.01
633,0.005411,0.012042,0.012237,1.45
634,0.007811,0.015375,0.006216,18.04
635,0.010964,0.010043,0.014687,6.79
636,0.002814,0.021376,0.008188,12.71
637,0.002485,0.007119,0.006406,12.23
638,0.010636,0.020456,0.010219,8.19
639,0.00814,0.013118,0.009268,16.95
640,0.005739,0.018455,0.012935,3.49
641,0.005723,0.009687,0.006539,15.96
642,0.008075,0.022771,0.01004,4.38
643,0.01065,0.011686,0.009136,10.64
644,0.002552,0.01677,0.013114,9.72
645,0.002881,0.014731,0.012417,5.18
646,0.010978,0.017819,0.006083,14.23
647,0.007747,0.008732,0.014508,0.48
648,0.005395,0.01982,0.00832,18.94
649,0.004246,0.012776,0.0139,12.57
650,0.006926,0.015672,0.007722,6.61
651,0.011798,0.010777,0.011774,17.87
652,0.00403,0.021673,0.005431,1.32
653,0.001733,0.007822,0.009744,3.66
654,0.009501,0.020722,0.013712,17.07
655,0.009223,0.013821,0.007181,8.34
656,0.006543,0.018721,0.010691,12.42
657,0.006331,0.0134,0.007931,0.99
658,0.008862,0.018051,0.014275,19.45
659,0.009873,0.007399,0.005222,5.69
660,0.001935,0.02005,0.0114,14.73
661,0.003576,0.010447,0.013191,10.21
662,0.011513,0.021094,0.009681,9.3
663,0.007221,0.012448,0.011212,15.53
664,0.00469,0.015095,0.007243,3.95
665,0.004853,0.008059,0.010614,7.52
