iter,MH,MW,MAG,ROT,LW1,LW2,Theta1,Theta2,I0,I1,I2,phi0,phi1,phi2
23,0.007385,0.018475,0.012593,7.34,0.001246,0.00386,21.83,0.237814,10.54,10.31,10.33,-3.95,3.75,-1
24,0.011812,0.021669,0.008962,16.23,0.001658,0.003066,18.28,0.150543,10.3,10.87,10.93,-0.07,-0.37,0.109999999999999
25,0.003423,0.015193,0.010211,2.2,0.002985,0.002486,20.35,0.556185,9.29,9.25,9.13,0.42,1.64,-2.91
26,0.002861,0.020141,0.014693,3.94,0.002711,0.002816,18.54,0.224755,10.09,10.1,10.68,2.42,-2.03,-1.91
27,0.009865,0.01679,0.005946,17.64,0.001885,0.003736,20.59,0.505626,9.09,9.52,9.38,-2.14,0.92,4.69
28,0.009333,0.023735,0.012467,9.03,0.001456,0.00344,19.02,0.382726,9.84,9.08,9.84,-3.21,-4.92,-3.90000000000001
29,0.005941,0.019447,0.008718,12.52,0.002128,0.00211,21.1,0.288848,10.84,10.54,10.08,3.48,3.66,1.69
30,0.005884,0.020326,0.005386,16.47,0.001872,0.002439,19.47,0.229663,9.22,9.16,10.98,-4.12,-4.59,-2.05
31,0.01008,0.023294,0.008081,11.49,0.002116,0.003813,18.97,0.56385,10.97,10.14,9.54,0.26,-2.49,-4.04000000000001
32,0.002684,0.01977,0.011834,5.04,0.001288,0.002737,20.92,0.156735,9.96,9.73,10.27,-0.53,1.1,1.86
33,0.003402,0.0249,0.013269,8.66,0.001014,0.002063,18.23,0.496992,10.66,10.88,9.79,-2.29,-0.09,3.33
34,0.011873,0.018251,0.007017,14.79,0.002343,0.003487,20.15,0.215625,9.67,9.5,10.02,1.93,1.32,-1.17
35,0.007559,0.021307,0.010809,3.67,0.002755,0.003689,19.71,0.296015,9.42,9.93,10.74,3.33,-2.82,0.239999999999995
36,0.005165,0.015595,0.009556,19.74,0.001583,0.002863,21.66,0.389412,10.42,10.44,9.44,-3.69,4.2,-3.08
37,0.004553,0.022687,0.010565,12.87,0.002666,0.002523,18.34,0.523178,10.52,9.54,9.32,-4.42,2.19,0.700000000000003
38,0.008172,0.01916,0.009313,9.33,0.001992,0.003911,20.29,0.179799,9.52,10.08,10.61,4.77,-1.08,-3.48
39,0.00402,0.017129,0.006618,4.26,0.002238,0.002285,21.77,0.365182,10.27,9.1,9.91,-0.85,-3.19,-0.390000000000001
40,0.002071,0.02195,0.008288,1.95,0.002465,0.002897,19.08,0.259264,9.1,10.26,10.4,-1.36,3.11,-4.40000000000001
41,0.008735,0.024294,0.005748,6.96,0.001704,0.003273,18.61,0.597235,10.84,9.31,9.06,3.01,0.22,-1.39
42,0.006502,0.017642,0.014502,10.83,0.002876,0.002162,20.53,0.129085,9.85,10.81,10.86,-2.74,-1.49,4.19
43,0.006748,0.02383,0.008847,3.06,0.001346,0.003607,21.33,0.578101,9.57,9.38,10.77,-2,3.98,3.45999999999999
44,0.008517,0.017979,0.010094,19.11,0.002047,0.002969,19.28,0.109219,10.58,10.99,9.04,2.2,-2.75,-0.650000000000006
45,0.010291,0.022424,0.006464,8.03,0.002604,0.002231,20.86,0.279376,10.32,10.43,9.7,3.62,1.87,0.450000000000003
46,0.002445,0.015635,0.012712,14.18,0.001808,0.003343,18.78,0.435258,9.32,9.94,10.5,-3.42,-0.49,-2.64
47,0.004227,0.020906,0.012194,12.11,0.001519,0.003981,20.09,0.345911,10.06,10.67,9.95,-3.78,0.72,-2.23
48,0.010998,0.017242,0.008447,5.68,0.002815,0.002592,18.04,0.376564,9.06,9.2,10.25,4.2,-1.95,4.45
49,0.004966,0.018961,0.00622,0.73,0.001072,0.003218,19.52,0.167439,10.81,10.23,9.29,-0.17,-4.84,1.36
50,0.005583,0.02182,0.01398,6.35,0.002176,0.003433,20.48,0.314845,10.13,9.75,9.42,-1.68,-1.57,-4.91
51,0.007191,0.015034,0.005233,10.2,0.001474,0.002009,18.4,0.409463,9.13,10.37,10.65,1.26,0.46,2.06999999999999
52,0.003614,0.018627,0.007615,15.27,0.002733,0.003633,19.91,0.196553,10.88,9.32,9.83,-3.12,2.57,3.99
53,0.003063,0.023582,0.007488,18.52,0.002944,0.003057,21.22,0.551428,9.74,10.04,10.37,-4.72,-3.74,1.12
54,0.009129,0.020301,0.009715,13.51,0.0012,0.002683,20.72,0.241106,10.49,9.02,9.17,0.9,-0.85,3.11
55,0.006135,0.01664,0.010963,9.95,0.002403,0.003759,18.67,0.459976,9.48,10.61,10.9,-1.1,2.12,-0.290000000000006
56,0.006186,0.021387,0.009413,10.08,0.002551,0.003244,18.15,0.43033,9.95,9.12,9.11,0.34,-3.78,-3.43000000000001
57,0.009049,0.015539,0.010662,6.46,0.00185,0.002323,20.23,0.274445,10.95,10.51,10.82,-0.15,2.63,1.23
58,0.009758,0.024981,0.007187,15.07,0.001312,0.002617,19.66,0.112203,10.2,10.06,10.41,-4.03,-1.67,-0.180000000000007
59,0.003007,0.018196,0.013434,1.51,0.002108,0.003947,21.71,0.581066,9.2,9.56,9.65,4.22,0.36,2.99
60,0.00365,0.01878,0.009342,11.22,0.002454,0.003225,20.71,0.561934,9.66,9.74,9.25,-2.04,1.98,-0.890000000000001
61,0.01157,0.019723,0.007919,18.64,0.001023,0.002198,21.47,0.507116,9.44,9.3,9.9,-3.13,2.06,-4.93000000000001
62,0.007238,0.020415,0.014284,9.75,0.001576,0.002994,18.92,0.379527,9.68,9.86,9.36,-2.06,-3.65,3.98
63,0.004832,0.018496,0.00699,5.43,0.001867,0.003674,20.85,0.598861,9.52,10.83,9.65,-5,-0.34,-3.22
64,0.010035,0.024075,0.008876,17.5,0.002822,0.003294,21.66,0.194851,9.75,10.79,9.4,4.89,-3,0.930000000000007
65,0.00787,0.017552,0.005916,2.86,0.002672,0.002654,21.08,0.482029,9.25,10.13,9.48,-1.08,-0.58,-2.3
66,0.004342,0.016145,0.008143,7.91,0.001433,0.003028,20.61,0.311974,10.5,9.18,10.04,4.54,-2.69,-4.13
67,0.002374,0.021025,0.006766,5.87,0.001144,0.00367,18.29,0.464816,9.86,10.46,9.52,2.64,3.55,-0.760000000000005
68,0.008412,0.022744,0.009149,0.84,0.002899,0.002046,19.77,0.142661,10.11,9.48,10.94,-1.74,0.66,-2.51000000000001
69,0.006824,0.019081,0.010396,16.98,0.001696,0.003404,21.85,0.548536,9.11,10.89,9.24,1.55,-2.01,0.329999999999998
70,0.006446,0.022885,0.00607,9.14,0.002041,0.002833,20.04,0.161612,9.34,9.33,9.15,3.23,4.4,2.33
71,0.010612,0.020853,0.008609,4.15,0.001784,0.003457,21.52,0.444887,10.59,10.36,10.33,-2.39,2.29,4.09
72,0.002122,0.017327,0.012361,18.03,0.002612,0.0021,19.6,0.226746,9.59,9.77,9.62,2.11,-0.98,-1.27
73,0.003925,0.022382,0.012548,15.69,0.00284,0.002708,21.28,0.394267,10.79,10.62,10.07,0.05,0.27,-3.55
74,0.011302,0.015731,0.006294,2.15,0.00151,0.00385,19.33,0.300897,9.79,9,9.87,-0.4,-1.43,0.709999999999994
75,0.00813,0.023789,0.010242,10.72,0.001079,0.003084,20.78,0.212706,9.05,9.57,9.4,-4.33,3.01,-0.390000000000001
76,0.004643,0.018075,0.00899,7.08,0.002251,0.002476,18.86,0.494085,10.04,10.06,10.67,3.98,-4.32,2.55
77,0.00528,0.020206,0.011133,0.23,0.001496,0.002129,21.14,0.360269,10.89,9.96,10.54,2.91,-2.39,-1.18000000000001
78,0.007493,0.016682,0.00988,16.35,0.00217,0.003299,19.22,0.328911,9.9,10.42,9.28,-2.57,1.2,3.39
79,0.003292,0.019651,0.007341,11.3,0.001913,0.002923,18.72,0.526127,10.15,9.4,10.2,1.81,3.31,0.230000000000004
80,0.002759,0.02439,0.00776,14.91,0.001639,0.002252,20.4,0.124198,9.48,10.25,9.75,0.99,-2.92,4.97
81,0.009975,0.018678,0.011514,8.55,0.002969,0.003172,18.48,0.592328,10.47,9.63,10.45,-0.71,4.11,-2.17
82,0.009452,0.021734,0.005066,19.94,0.00238,0.003878,21.91,0.419314,10.72,9.19,10.79,-4.63,-0.03,1.73
83,0.005813,0.015084,0.013817,3.48,0.001208,0.002548,19.96,0.262208,9.72,10.69,9.03,4.91,1.37,-3.93000000000001
84,0.005987,0.02483,0.012165,7.38,0.002791,0.002876,21.59,0.322408,10.35,9.06,9.93,-3.04,-0.43,4.84
85,0.009238,0.018355,0.008417,11.08,0.001621,0.00355,19.54,0.353286,9.35,10.57,10.14,2.77,1.58,-1.98999999999999
86,0.00282,0.015386,0.005644,15.95,0.00236,0.002176,18.02,0.191188,10.6,9.62,9.34,-1.6,3.85,-3.75
87,0.003508,0.020569,0.009267,17.68,0.002086,0.002501,20.84,0.586319,9.77,10.77,10.86,-1.18,-4.86,-1.04000000000001
88,0.007437,0.023225,0.00665,12.79,0.001831,0.003125,21.35,0.271634,10.02,9.79,9.68,4.45,-2.13,-2.87
89,0.005299,0.019874,0.012897,8.75,0.002503,0.002299,19.27,0.427282,9.02,10.34,10.38,-4.8,0.82,0.0499999999999972
90,0.004662,0.022157,0.006912,3.16,0.00175,0.002084,20.73,0.559159,9.92,9.69,10.26,-3.34,2.76,-3.69
91,0.008074,0.015996,0.01316,19.67,0.00292,0.003473,18.65,0.153521,10.92,10.19,9.56,3.7,-3.95,0.890000000000001
92,0.008837,0.023202,0.007461,1.7,0.001483,0.003869,21.77,0.169278,9.57,9.63,9.99,2.13,4.64,3.25
93,0.00414,0.017714,0.010933,14.55,0.001162,0.002849,19.16,0.452491,9.17,9.24,10.98,-1.93,-1.84,2.72
94,0.002183,0.022581,0.014166,11.58,0.001389,0.002461,21.98,0.291829,10.47,10.4,9.47,-0.25,1.92,2.47
95,0.010592,0.019232,0.005418,5.62,0.002215,0.003099,19.9,0.385695,9.46,9.98,10.73,0.52,-0.73,-4.68000000000001
96,0.008606,0.021175,0.011783,16.69,0.002631,0.003835,20.46,0.50071,9.71,9.42,10.01,4.12,4.81,4.23
97,0.00662,0.016889,0.008036,0.47,0.00196,0.002723,18.41,0.219812,10.71,10.96,9.81,-3.85,-3.46,-1.44
98,0.006881,0.020702,0.013631,13.41,0.002305,0.003044,19.73,0.489572,10.99,9.27,9.83,-0.93,1.07,-0.930000000000007
99,0.008394,0.01749,0.007378,9.39,0.0011,0.002405,21.65,0.207454,9.99,10.85,10.1,1.13,-2.22,3.72
100,0.003271,0.022555,0.014938,2.67,0.001798,0.002545,21.4,0.144307,9.89,10.06,9.15,-2.55,-4.43,-1.47
101,0.002551,0.018896,0.00984,4.52,0.002857,0.003781,20.17,0.397078,10.24,9.83,9.43,-4.5,-4.49,0.469999999999999
102,0.004363,0.023938,0.005259,1.85,0.002568,0.003419,18.98,0.252987,9.38,10.56,10.88,-2.66,4.25,4.63
103,0.007695,0.02222,0.007565,6.75,0.001327,0.002793,19.46,0.540024,10.63,9.51,9.58,1.71,1.52,1.47
104,0.005069,0.015883,0.011316,10.47,0.002031,0.003655,21.41,0.133653,9.63,10.12,10.34,-1.29,-0.21,-4.27
105,0.005701,0.023649,0.008571,17.31,0.001221,0.003994,18.59,0.283079,9.31,9.89,10.47,-0.61,-3.4,1.97
106,0.007062,0.019497,0.012324,1.11,0.002425,0.00257,20.54,0.43946,10.3,10.48,9.7,0.18,4.59,-4.79000000000001
107,0.01151,0.020055,0.006111,12.22,0.002978,0.00237,19.1,0.5739,10.56,10.92,9.05,3.77,-1.13,3.81
108,0.003726,0.016841,0.014863,6.24,0.001681,0.003196,21.02,0.105517,9.56,9.46,10.75,-4.19,2.48,-1.63
109,0.003183,0.021575,0.010049,7.63,0.001891,0.003621,19.84,0.515267,10.82,10.18,9.3,-3.61,-1.3,-3.25
110,0.009542,0.015235,0.008796,13.92,0.002689,0.002947,21.79,0.172113,9.83,9.69,10.51,3.41,0.12,1.09
111,0.009031,0.024543,0.012743,2.53,0.002152,0.002245,18.35,0.341236,9.07,9.13,10.22,2.02,-4.2,-0.0100000000000051
112,0.006244,0.018516,0.006492,19.06,0.001448,0.003321,20.27,0.373335,10.08,10.75,9.96,-2.22,2.85,2.84999999999999
113,0.006275,0.020985,0.010303,4.62,0.002094,0.002744,19.07,0.417933,10.63,10.02,9.69,-0.21,4.36,-1.70999999999999
114,0.008962,0.017166,0.009056,18.17,0.001298,0.003824,21.05,0.261575,9.64,9.6,10.49,0.57,-2.98,3.87
115,0.003231,0.019197,0.006282,13.23,0.002557,0.002448,20.51,0.595418,10.39,10.59,9.04,-3.81,-0.24,1.88
116,0.003793,0.024223,0.008656,10.55,0.002768,0.002867,18.32,0.185766,9.25,9.8,10.52,-3.38,0.95,2.92
117,0.007012,0.02188,0.006038,15.54,0.001025,0.003493,19.86,0.359697,11,10.76,9.94,2.24,3.21,1.01000000000001
118,0.005712,0.016185,0.014786,1.66,0.00232,0.002074,21.75,0.327591,9.99,9.36,10.24,-1.97,-4.44,-3.18000000000001
119,0.0051,0.023345,0.005014,6.03,0.001427,0.002296,18.25,0.209388,9.07,10.65,10.11,-1.13,-1.33,0.560000000000002
120,0.007625,0.019841,0.013761,12.39,0.002224,0.003153,20.14,0.491483,10.07,9.22,9.82,0.87,0.06,-2.76000000000001
121,0.010865,0.020377,0.007787,1,0.002686,0.00392,19.69,0.39516,10.81,9.66,9.41,4.49,-4.07,3.65000000000001
122,0.004411,0.01656,0.011535,17.46,0.001984,0.002527,21.68,0.302019,9.82,10.21,10.65,-4.76,2.95,-0.840000000000003
123,0.002618,0.02127,0.013517,18.83,0.001694,0.002171,19.49,0.445947,10.55,9.43,9.16,-3.08,-3.34,-4.34
124,0.010146,0.015578,0.00727,2.71,0.002897,0.003278,21.38,0.227577,9.55,10.95,10.9,2.73,4.61,1.55
125,0.008583,0.016581,0.009069,8.06,0.002517,0.003699,19.65,0.103265,10.44,10,9.08,-0.27,-3.71,-2.99
126,0.006892,0.018234,0.009887,7.76,0.001154,0.002904,20.93,0.565449,10.3,9.99,9.56,-1.65,2.35,4.56
127,0.00805,0.02184,0.005837,5.72,0.002805,0.003118,21.47,0.52167,9.17,9.35,10.6,-1.95,2.54,-2.14
128,0.008595,0.01864,0.005481,2.3,0.001794,0.002226,19.13,0.545461,9.03,9.82,10.27,3.3,3.61,-0.590000000000003
129,0.002211,0.015046,0.007941,7.23,0.002039,0.003601,18.68,0.246591,10.78,10.86,9.2,-2.33,0.88,-3.59999999999999
130,0.004149,0.020245,0.007111,8.98,0.002265,0.003207,20.5,0.407152,9.6,9.53,10.75,-0.5,-0.33,-1.51000000000001
131,0.008043,0.023526,0.009416,3.99,0.001504,0.002583,21.94,0.19837,10.35,10.54,9.79,3.88,-2.59,-4.59999999999999
132,0.004731,0.019533,0.010668,17.56,0.002834,0.003976,19.93,0.479245,9.36,9.09,10.03,-4.08,3.83,2.40000000000001
133,0.005349,0.022499,0.00921,14.44,0.001915,0.003628,20.07,0.37865,9.71,10.92,10.15,-2.78,1.96,-3.84
134,0.007426,0.015691,0.010461,8.4,0.002743,0.002798,18.06,0.347764,10.71,9.45,9.92,2.98,-0.7,1.66
135,0.011689,0.023905,0.006748,19.47,0.00216,0.002002,21.61,0.165839,10.46,9.88,9.33,1.6,4.7,-1.92
136,0.003536,0.018035,0.013001,3.33,0.001486,0.003422,19.5,0.509702,9.45,10.49,10.62,-1.4,-3.59,4.75
137,0.002828,0.022924,0.011936,0.39,0.001214,0.003753,21.32,0.114729,10.16,9.15,9.08,-0.82,2.73,0.120000000000005
138,0.009907,0.018929,0.008184,16.83,0.002386,0.002672,19.3,0.58434,9.16,10.72,10.87,1.24,-4,-2.95999999999999
139,0.006057,0.017211,0.005879,11.78,0.001625,0.003048,18.76,0.273629,10.91,9.72,9.66,-4.38,-1.73,-0.969999999999999
140,0.005763,0.022542,0.007513,17.83,0.002374,0.003375,20.64,0.338696,9.04,10.09,9.26,2.51,0.17,0.299999999999997
141,0.009463,0.01935,0.01126,4.37,0.001046,0.002049,18.75,0.370077,10.03,9.54,10.56,-2.95,-1.56,-3.09999999999999
142,0.010042,0.021136,0.005286,12.94,0.001615,0.002751,21.17,0.516327,10.79,9.09,10.22,-1.86,3.07,3.3
143,0.002731,0.017006,0.014034,9.22,0.002786,0.003675,19.19,0.172945,9.78,10.53,9.98,1.43,-4.29,-1.11
144,0.003284,0.022039,0.011016,6.91,0.002513,0.003002,21.88,0.574792,10.58,9.86,10.47,0.77,4.53,-4.02
145,0.011982,0.016034,0.009769,10.92,0.001841,0.002425,19.99,0.106639,9.59,10.26,9.73,-0.96,-3.14,1.8
146,0.007524,0.02407,0.013634,1.99,0.001257,0.002626,20.44,0.27976,9.33,10.82,9.01,-4.86,2.26,-2.09999999999999
147,0.005211,0.017753,0.007385,15.79,0.002084,0.003799,18.45,0.436858,10.33,9.3,10.81,4.67,-1.03,4.88
148,0.004593,0.020529,0.012804,11.43,0.001167,0.003585,21.55,0.539452,10.73,10.72,10.93,3.44,-2.88,-1.33
149,0.008142,0.016397,0.006557,5.15,0.002495,0.002974,19.56,0.132334,9.73,9.16,9.13,-3.25,4.15,4.18000000000001
150,0.011369,0.023185,0.010031,16.54,0.002906,0.00221,20.01,0.256016,9.48,9.72,9.61,-2.19,-0.15,-4.42
151,0.003897,0.019991,0.008783,0,0.001736,0.00335,18.12,0.47415,10.48,10.15,10.34,2.38,1.26,2.26000000000001
152,0.002114,0.024714,0.006157,3.63,0.001962,0.00396,20.81,0.306775,9.15,9.49,9.86,0.46,-2.44,2.63
153,0.008851,0.021433,0.008539,8.71,0.002205,0.002334,21.25,0.488191,10.9,10.45,10.68,-3.91,-4.54,0.640000000000001
154,0.006376,0.015425,0.012287,14.7,0.001379,0.003223,19.36,0.20682,9.91,9.93,9.38,4.34,3.43,-3.47
155,0.006793,0.021691,0.006711,1.38,0.002847,0.002543,18.56,0.499634,9.67,10.36,9.47,1.03,-0.79,-4.2
156,0.008481,0.015196,0.012963,15.16,0.00155,0.003904,20.58,0.218996,10.68,9.76,10.7,-0.68,2.18,1.38
157,0.010399,0.02466,0.009249,6.28,0.001102,0.003169,19,0.294354,10.43,9.33,10.05,-4.6,-3.68,-2.20999999999999
158,0.002327,0.018477,0.010502,10.31,0.002306,0.00228,21.11,0.388967,9.43,10.8,9.76,4.95,4.91,4.39
159,0.004275,0.023689,0.014437,13.56,0.002017,0.00292,19.8,0.236211,10.19,9.59,10.3,2.88,-3.9,0.420000000000002
160,0.01096,0.019381,0.005685,9.86,0.001313,0.003531,21.81,0.455077,9.19,10.04,9.51,-2.6,2.51,-2.58
161,0.00792,0.020095,0.012133,18.47,0.001776,0.003294,18.26,0.558282,9.94,10.6,9.22,-1.49,-1.63,3.51000000000001
162,0.004845,0.016724,0.00838,4.99,0.002574,0.002155,20.37,0.152385,10.94,9.03,10.96,1.77,0.4,-0.670000000000002
163,0.005458,0.024056,0.011731,8.1,0.001679,0.002495,19.63,0.26862,10.12,10.98,10.83,0.08,3.5,3.05
164,0.007307,0.017876,0.007979,14.07,0.002976,0.003071,21.74,0.424497,9.12,9.39,9.1,-0.36,-4.77,-0.269999999999996
165,0.003657,0.015844,0.00544,19.21,0.001231,0.002697,20.2,0.118021,10.87,10.43,10.43,4.02,-1.88,-3.36
166,0.002939,0.02074,0.00961,17.16,0.001442,0.00212,18.89,0.536439,9.51,9.21,9.88,3.2,1.8,-1.84999999999999
167,0.009786,0.017372,0.010862,0.64,0.002146,0.003447,21,0.191836,10.51,10.66,10.18,-3.55,-0.53,4.05
168,0.009099,0.023084,0.006914,12.07,0.002703,0.003744,19.42,0.319562,10.26,10.22,10.58,-2.43,3.91,-4.86
169,0.006175,0.018779,0.013167,5.77,0.001905,0.002821,21.44,0.350211,9.26,9.65,9.35,2.08,-2.8,2.06
170,0.006065,0.024171,0.007238,14.34,0.001053,0.00218,21.98,0.384091,9.8,10.13,10.63,-1.32,0.67,3.92
171,0.009721,0.02214,0.009934,19.25,0.00281,0.003556,20.45,0.221909,10.05,9.17,9.84,3.05,3.56,2.16
172,0.003054,0.015959,0.011186,2.95,0.001606,0.002887,18.44,0.502551,9.05,10.7,10.11,-2.7,-4.71,-4.98
173,0.003586,0.021245,0.013872,0.91,0.001817,0.002306,20.75,0.14753,10.31,9.91,9.59,-4.46,4,-0.200000000000003
174,0.011678,0.01694,0.005119,16.88,0.002521,0.003136,18.64,0.5534,9.32,10.47,10.36,4.73,-2.7,3.04000000000001
175,0.007202,0.022651,0.01141,5.8,0.002078,0.00393,21.19,0.457996,9.56,10.9,10.88,1.17,1.74,-3.36
176,0.005534,0.019283,0.007659,12.03,0.001279,0.00251,19.17,0.239119,10.57,9.48,9.18,-0.9,-0.59,1.20999999999999
177,0.004896,0.021498,0.012455,15.12,0.002472,0.002858,20.82,0.122933,10.5,10.51,9.06,-2.25,-3.62,-2.58
178,0.007839,0.015315,0.008702,1.42,0.001175,0.003715,18.81,0.591792,9.49,9.11,10.76,1.98,4.97,0.359999999999999
179,0.004219,0.018284,0.006007,6.54,0.002931,0.002091,19.25,0.26567,10.74,10.07,9.72,-3.65,2.08,3.52
180,0.002417,0.023261,0.008926,9.82,0.002642,0.002734,21.56,0.355099,9.88,9.29,10.23,-4.16,-1.69,1.28
181,0.010358,0.019891,0.010179,13.6,0.001938,0.003841,19.55,0.324469,10.89,10.84,9.97,3.8,0.34,-4.08
182,0.008528,0.020605,0.006388,4.71,0.001401,0.003108,20.12,0.188889,10.14,10.28,9.31,0.22,-3.8,4.52
183,0.006698,0.016297,0.01264,18.74,0.002199,0.002465,18.01,0.533495,9.14,9.85,10.51,-0.57,2.6,-2.31999999999999
184,0.006491,0.020024,0.008235,5.19,0.001542,0.00377,19.81,0.177873,9.41,10.41,10.6,-4.84,-0.05,-0.329999999999998
185,0.008784,0.016829,0.011983,11.4,0.00287,0.002663,21.8,0.521259,10.41,9.96,9.33,4.41,1.36,2.52
186,0.010721,0.023617,0.005853,0.28,0.002282,0.002396,18.37,0.367093,10.66,9.4,9.93,0.79,-2.94,-3.56999999999999
187,0.002004,0.019485,0.0146,16.27,0.001111,0.003039,20.27,0.335731,9.66,10.97,10.13,-1.21,4.09,0.769999999999996
188,0.00922,0.023887,0.01074,4.95,0.001732,0.003922,20.35,0.250731,10.62,9.98,9.21,-1.62,-0.52,0.760000000000005
189,0.011264,0.018592,0.009085,3.59,0.002009,0.002789,20.56,0.284682,9.96,10.24,10.38,1.37,3.33,-1.31999999999999
190,0.008242,0.021631,0.013106,14.98,0.00258,0.00202,19.11,0.103676,9.21,10.68,10.84,2.8,-2.38,2.27
191,0.004522,0.015311,0.006859,8.45,0.001754,0.003413,21,0.571802,10.2,9.2,9.08,-3,1.22,-4.48
192,0.006073,0.021235,0.00864,16.08,0.00226,0.003645,21.48,0.328126,10.73,9.94,9.94,4.51,-0.76,1.52
193,0.007609,0.01884,0.007084,18.11,0.001671,0.002359,20.89,0.251174,9.86,9.34,10.97,4.09,-4.35,-3.95
194,0.003335,0.017434,0.009468,12.98,0.00241,0.003985,21.43,0.542324,10.11,10.35,9.55,-0.28,-1.46,-2.12
195,0.002636,0.022232,0.00559,10.65,0.002137,0.003316,19.73,0.20198,9.28,9.01,10.01,-1.89,2.32,-3
196,0.009422,0.02395,0.007817,15.76,0.001883,0.00294,18.2,0.403042,10.53,10.05,9.46,3.73,4.43,-1.23999999999999
197,0.005853,0.017946,0.011564,2.04,0.002709,0.00361,20.19,0.309668,9.53,9.58,10.72,-3.31,-3.24,3.42
198,0.002203,0.019549,0.006843,3.03,0.001277,0.002073,18.16,0.441228,9.69,9.06,10.38,4.1,-0.82,-1.23
199,0.009283,0.016118,0.006203,14.63,0.002118,0.002612,20.32,0.463249,9.4,9.68,9.61,-4.37,-3.49,0.0400000000000063
200,0.002929,0.017525,0.008508,19.58,0.001862,0.003236,21.87,0.144718,10.66,10.64,10.91,0,-0.76,3.28
201,0.00347,0.022805,0.006428,16.63,0.001589,0.003563,19.05,0.47631,9.98,9.97,9.4,2.16,0.52,1.62
202,0.007316,0.021086,0.008889,11.65,0.00233,0.002189,18.51,0.31818,10.23,10.96,10.06,-3.47,2.79,4.78
203,0.00541,0.017091,0.010141,5.51,0.001,0.003363,20.62,0.412049,9.23,9.41,9.86,3.28,-3.94,-1.98
204,0.004778,0.02494,0.009737,2.41,0.002248,0.003023,19.38,0.512625,9.83,10.58,9.99,4.86,-2.17,4.28
205,0.007948,0.018135,0.01099,16.04,0.001419,0.002412,21.49,0.168743,10.83,9.05,10.19,-4.67,0.82,-1.45999999999999
206,0.011167,0.021346,0.007433,7.42,0.00199,0.002647,18.93,0.342898,10.08,9.62,10.54,-0.76,-4.9,2.44
207,0.004107,0.015478,0.013684,10.99,0.002664,0.003786,20.95,0.373779,9.08,10.01,9.27,0.95,3.71,-4.62
